"ID";"EconomischeRisicoS";"Persoonskenmerken";"Perioden";"NietZoGelukkig_1";"Gelukkig_2";"NietZoTevredenMetHetLeven_3";"TevredenMetHetLeven_4"
"0";"  999";"10001";"2003JJ00";"      13";"      87";"      13";"      87"
"1";"  999";"10001";"2004JJ00";"      13";"      87";"      13";"      87"
"2";"  999";"10001";"2005JJ00";"      13";"      87";"      14";"      86"
"3";"  999";"10001";"2006JJ00";"      12";"      88";"      13";"      87"
"4";"  999";"10001";"2007JJ00";"      12";"      88";"      13";"      87"
"5";"  999";"10001";"2008JJ00";"      12";"      88";"      12";"      88"
"6";"  999";"10001";"2009JJ00";"      11";"      89";"      13";"      87"
"7";"  999";"10001";"2010XX00";"      13";"      87";"      14";"      86"
"8";"  999";"10001";"2010JJ00";"      16";"      84";"      15";"      85"
"9";"  999";"10001";"2012JJ00";"      17";"      83";"      17";"      83"
"10";"  999";"15400";"2003JJ00";"      12";"      88";"      13";"      87"
"11";"  999";"15400";"2004JJ00";"      11";"      89";"      13";"      87"
"12";"  999";"15400";"2005JJ00";"      13";"      87";"      14";"      86"
"13";"  999";"15400";"2006JJ00";"      10";"      90";"      13";"      87"
"14";"  999";"15400";"2007JJ00";"      11";"      89";"      12";"      88"
"15";"  999";"15400";"2008JJ00";"      12";"      88";"      11";"      89"
"16";"  999";"15400";"2009JJ00";"      10";"      90";"      12";"      88"
"17";"  999";"15400";"2010XX00";"      11";"      89";"      13";"      87"
"18";"  999";"15400";"2010JJ00";"      14";"      86";"      15";"      85"
"19";"  999";"15400";"2012JJ00";"      18";"      82";"      17";"      83"
"20";"  999";"15450";"2003JJ00";"      14";"      86";"      14";"      86"
"21";"  999";"15450";"2004JJ00";"      14";"      86";"      14";"      86"
"22";"  999";"15450";"2005JJ00";"      14";"      86";"      14";"      86"
"23";"  999";"15450";"2006JJ00";"      13";"      87";"      14";"      86"
"24";"  999";"15450";"2007JJ00";"      13";"      87";"      13";"      87"
"25";"  999";"15450";"2008JJ00";"      12";"      88";"      12";"      88"
"26";"  999";"15450";"2009JJ00";"      13";"      87";"      13";"      87"
"27";"  999";"15450";"2010XX00";"      14";"      86";"      15";"      85"
"28";"  999";"15450";"2010JJ00";"      18";"      82";"      16";"      84"
"29";"  999";"15450";"2012JJ00";"      16";"      84";"      17";"      83"
"30";"  999";"53110";"2003JJ00";"       9";"      91";"      11";"      89"
"31";"  999";"53110";"2004JJ00";"      10";"      90";"      12";"      88"
"32";"  999";"53110";"2005JJ00";"      11";"      89";"      13";"      87"
"33";"  999";"53110";"2006JJ00";"       8";"      92";"      12";"      88"
"34";"  999";"53110";"2007JJ00";"      10";"      90";"      10";"      90"
"35";"  999";"53110";"2008JJ00";"       7";"      93";"       9";"      91"
"36";"  999";"53110";"2009JJ00";"       9";"      91";"      11";"      89"
"37";"  999";"53110";"2010XX00";"       8";"      92";"      11";"      89"
"38";"  999";"53110";"2010JJ00";"      13";"      87";"      14";"      86"
"39";"  999";"53110";"2012JJ00";"      12";"      88";"      15";"      85"
"40";"  999";"53705";"2003JJ00";"      12";"      88";"      14";"      86"
"41";"  999";"53705";"2004JJ00";"      12";"      88";"      14";"      86"
"42";"  999";"53705";"2005JJ00";"      12";"      88";"      14";"      86"
"43";"  999";"53705";"2006JJ00";"      12";"      88";"      14";"      86"
"44";"  999";"53705";"2007JJ00";"      11";"      89";"      13";"      87"
"45";"  999";"53705";"2008JJ00";"      13";"      87";"      14";"      86"
"46";"  999";"53705";"2009JJ00";"      11";"      89";"      14";"      86"
"47";"  999";"53705";"2010XX00";"      12";"      88";"      15";"      85"
"48";"  999";"53705";"2010JJ00";"      16";"      84";"      16";"      84"
"49";"  999";"53705";"2012JJ00";"      16";"      84";"      17";"      83"
"50";"  999";"53850";"2003JJ00";"      14";"      86";"      13";"      87"
"51";"  999";"53850";"2004JJ00";"      14";"      86";"      14";"      86"
"52";"  999";"53850";"2005JJ00";"      15";"      85";"      16";"      84"
"53";"  999";"53850";"2006JJ00";"      13";"      87";"      15";"      85"
"54";"  999";"53850";"2007JJ00";"      14";"      86";"      14";"      86"
"55";"  999";"53850";"2008JJ00";"      13";"      87";"      12";"      88"
"56";"  999";"53850";"2009JJ00";"      11";"      89";"      13";"      87"
"57";"  999";"53850";"2010XX00";"      14";"      86";"      15";"      85"
"58";"  999";"53850";"2010JJ00";"      17";"      83";"      16";"      84"
"59";"  999";"53850";"2012JJ00";"      22";"      78";"      21";"      79"
"60";"  999";"15700";"2003JJ00";"      18";"      82";"      15";"      85"
"61";"  999";"15700";"2004JJ00";"      17";"      83";"      13";"      87"
"62";"  999";"15700";"2005JJ00";"      17";"      83";"      13";"      87"
"63";"  999";"15700";"2006JJ00";"      15";"      85";"      12";"      88"
"64";"  999";"15700";"2007JJ00";"      16";"      84";"      14";"      86"
